"Neighborhood","AreaSqMi","AreaSqKm","PctTreeCov","TreeEquity","TES","PriorityCa","SpeciesCount"
"Los Ranchitos",0.874893881012427,2.26596474933319,4.88447920493542,50.7068656146477,"0 - 64","High Priority",7
"22nd and Craycroft",0.109878058084307,0.284582863988327,7.44325678609416,63.7325818950434,"0 - 64","High Priority",33
"University of Arizona",0.423809313002717,1.09766108158416,11.1913993911516,97.2005393934133,"89 - 99","Low Priority",24
"Littletown",0.704107737394623,1.82363066801105,5.87030852498178,73.6848846791167,"64 - 79","High Priority",11
"Windsor Park",0.143326174406843,0.371213087565668,11.7563907913352,90.2999780995257,"89 - 99","Low Priority",18
"Starr Pass",3.09592267547567,8.01840291896129,5.26785809542121,74.4177587126733,"64 - 79","High Priority",58
"Casa Loma",0.058936037099008,0.15264363533695,13.641347197678,100,"99 - 100","Low Priority",5
"Rancho Cancion",0.730406158673798,1.89174326643582,7.45198017080582,79.2996353389574,"79 - 89","Moderate Priority",30
"Pueblo Gardens",0.835406574112251,2.16369309396873,5.45150886459613,57.3998139094743,"0 - 64","High Priority",33
"Richland Heights West",0.25405652176196,0.658003370631227,11.9281754981289,84.7454113326848,"79 - 89","Moderate Priority",2
"Sycamore Park",0.353802450318483,0.916344139613477,6.89631466815033,80.7147975655878,"79 - 89","Moderate Priority",12
"College Terrace",0.02493412094503,0.064579076781426,6.37195782578467,80.6196906537221,"79 - 89","Moderate Priority",54
"Barrio Nopal",0.970362422809833,2.51322713746748,6.22425529185802,69.20571777956,"64 - 79","High Priority",1
"Sunset Shadows",0.070451606874967,0.182468824136476,11.563991157419,89.7929723423551,"89 - 99","Low Priority",16
"Harrison Estates",0.125484875359883,0.325004335166317,10.5686172280864,85.7492857781433,"79 - 89","Moderate Priority",157
"Highland Vista Cinco Via",0.251298620343133,0.650860438748131,12.325178831884,89.9408965489779,"89 - 99","Low Priority",26
"Hedrick Acres",0.501745113733074,1.29951387881938,11.5064583832022,89.085463922321,"89 - 99","Low Priority",95
"Parkway Terrace",0.052151212201445,0.13507101952393,10.8700327165315,73.5714187229788,"64 - 79","High Priority",62
"Rancho Valencia",0.531715744770285,1.37713745685217,4.43597236253769,68.3013415384388,"64 - 79","High Priority",31
"Thunderbird Heights/Wilmot Desert Esta",0.254613354653362,0.659445561199478,12.4060205990247,86.480718717699,"79 - 89","Moderate Priority",11
"Wilmot Vista",0.186712476787477,0.483583094867991,7.64877807073191,74.73338373909,"64 - 79","High Priority",9
"Villas at Hacienda Del Sol",0.066312308398731,0.171748090299549,8.74472564125334,77.265420449194,"64 - 79","High Priority",16
"Catalina Vista",0.233558721995303,0.604914312955524,20.5188043964779,100,"99 - 100","Low Priority",101
"El Gheko",0.426179925650301,1.10380094015576,10.0850467673733,83.520267053102,"79 - 89","Moderate Priority",9
"Eastlawn",0.12769025753943,0.330716248789938,12.7713387527371,90.1037821479026,"89 - 99","Low Priority",23
"Duffy",0.25063601487833,0.649144298472205,10.025101885743,80.349997765257,"79 - 89","Moderate Priority",144
"McIntyre-Richey",0.024087956165535,0.062387520062786,11.9573853404408,85.4909419873975,"79 - 89","Moderate Priority",109
"Casa De Carlos",0.117679407665403,0.304788266644855,12.8496497129605,89.1756080457372,"89 - 99","Low Priority",68
"Dodge Flower",0.235528719392792,0.61001658279073,11.7733961147707,99.2257902974045,"99 - 100","Low Priority",23
"Glenn-Lowell Addition",0.008448794447476,0.021882277163122,4.70901186315913,94.2276078548824,"89 - 99","Low Priority",52
"Dos Hombres",0.046804088843337,0.12122203360373,9.79635193455483,95.8806607691242,"89 - 99","Low Priority",3
"North Dodge",0.255615322864614,0.662040646953078,12.9750578013127,93.5396854607128,"89 - 99","Low Priority",47
"Silverbell Golf Course",0.52940434829802,1.37115096747438,3.05207172670285,59.4333076153624,"0 - 64","High Priority",31
"Barrio Centro",0.228322453784259,0.591352440547677,8.63141994234669,68.0144002869023,"64 - 79","High Priority",24
"Arroyo Chico",0.757250301913411,1.96126927824856,9.0138346882225,76.6999195696714,"64 - 79","High Priority",1
"Wilshire Heights",0.101050598512499,0.261719848655713,16.4745627425083,96.7966738516404,"89 - 99","Low Priority",53
"Wrightstown Square",0.078376862650433,0.202995142363931,19.3667924764276,100,"99 - 100","Low Priority",7
"Miramonte at the River",0.177505867645234,0.459738086656422,8.37924940177548,83.7494575539263,"79 - 89","Moderate Priority",40
"Sewell",0.388465367213095,1.00612068222871,11.0897118139901,82.5927650228973,"79 - 89","Moderate Priority",8
"Barrio Anita",0.129025350041361,0.334174122495774,6.88675834539439,65.2035669388733,"64 - 79","High Priority",33
"Miles",0.17994907995226,0.466065977481185,10.0899396455093,73.7772918447891,"64 - 79","High Priority",42
"Seneca Terrace",0.087655035222153,0.227025499007,14.1358388289416,91.4344879808094,"89 - 99","Low Priority",32
"El Cortez",0.068372603153113,0.177084229216451,10.6373357219956,82.2027699078018,"79 - 89","Moderate Priority",53
"Vista Del Rio",0.084428365186386,0.218668461979503,12.1016995545916,88.3873505852804,"79 - 89","Moderate Priority",54
"Santa Cruz Southwest",0.844876839365355,2.18822096837115,8.81019875785474,66.4019185087282,"64 - 79","High Priority",106
"Colonia Del Valle",0.558879153445122,1.44749036234924,9.63333750310108,79.7646484395916,"79 - 89","Moderate Priority",16
"Coyote Corridor East",0.6896095701078,1.78608058712145,8.24002086005853,78.6214748330356,"64 - 79","High Priority",32
"Naylor",0.249142178466195,0.64527527992767,6.26892549613672,59.5575181368952,"0 - 64","High Priority",91
"Aldea Linda",0.079269157803344,0.205306176201597,15.7163226089876,94.8074082246536,"89 - 99","Low Priority",3
"Fort Lowell Estates",0.110768954575996,0.286890275308963,13.9227631295341,92.146675659777,"89 - 99","Low Priority",12
"Miraflores Estates",0.079915197518555,0.206979411381473,16.3893127164812,96.6331672264849,"89 - 99","Low Priority",17
"Tierra Vista",0.118310965868288,0.30642399488221,8.13633728081475,75.027808721293,"64 - 79","High Priority",6
"Estes Park",0.377818447418375,0.978545286552863,8.16029796850732,78.1141820044927,"64 - 79","High Priority",50
"Harlan Heights",0.321687298858326,0.833166279181347,10.708298884387,82.6097567574084,"79 - 89","Moderate Priority",30
"Rillito Park",0.18992442654423,0.491902006548518,5.34403991498594,70.2799952220595,"64 - 79","High Priority",81
"Broadway Pantano East",0.9943656939844,2.57539532441347,8.35425666406955,83.6445562986496,"79 - 89","Moderate Priority",77
"Broadway East",0.502716863546127,1.30203069928035,8.85739516521693,82.9616938023227,"79 - 89","Moderate Priority",21
"Agro Farms",0.043715478189008,0.113222568732286,7.79468947319266,90.766157658527,"89 - 99","Low Priority",130
"Rosemont East",0.060459957985224,0.15659057231313,15.5898307713082,95.4839830546806,"89 - 99","Low Priority",89
"Elvira",0.572990800775312,1.48403936114695,5.62407804350154,67.6041178469723,"64 - 79","High Priority",21
"Green Acres",0.152273517800324,0.394386600570412,13.7331893655103,92.9866892062331,"89 - 99","Low Priority",26
"Keeling",0.64086455923827,1.65983158854744,10.9510686403723,84.0399501901567,"79 - 89","Moderate Priority",3
"Colonia Del Rio",0.111304591334168,0.288277568143829,13.2084723910991,88.3353057292561,"79 - 89","Moderate Priority",103
"Roger Park",0.123191314427161,0.319064039622227,7.17435028791821,76.6736557474931,"64 - 79","High Priority",2
"Las Solinas",0.043911706602041,0.113730797989116,14.1620109640995,100,"99 - 100","Low Priority",46
"Winterhaven Annex",0.123701338195884,0.320384995117892,14.3401426012092,98.664101504632,"89 - 99","Low Priority",12
"Tanque Verde Creek",0.18263068378207,0.47301129951704,14.4733524999012,99.0353951349987,"99 - 100","Low Priority",62
"Doolen-Fruitvale",0.249385227315469,0.64590477355719,11.9184626805614,91.2625551514649,"89 - 99","Low Priority",3
"Sunnyside",2.79550320570059,7.24032006423058,6.59970482864551,71.2265693427636,"64 - 79","High Priority",14
"National City Northwest",0.271103635873978,0.702155193491909,7.07607938138084,70.519597293309,"64 - 79","High Priority",2
"Barrio Santa Cruz",0.156989433091397,0.40660076510115,8.33383706631399,61.6995471667057,"0 - 64","High Priority",6
"Menlo Park",2.24398913176089,5.81190517023027,6.16030627100057,54.1625847274643,"0 - 64","High Priority",104
"Creekside",0.334575886951627,0.866547569097672,12.8655188149515,89.6518082140484,"89 - 99","Low Priority",74
"Terra Del Sol",0.996371384746959,2.58059003963885,7.95060046067826,74.9536416525561,"64 - 79","High Priority",43
"Glenn Heights",0.093937876872949,0.243297984179737,12.3586251074966,95.9564478000933,"89 - 99","Low Priority",20
"Rainbow Vista Estates Annex",0.033573722055409,0.086955540931879,10.0771747972822,80.5722531688669,"79 - 89","Moderate Priority",67
"Williams Center",0.188444857185435,0.488069939501157,9.5506154817241,82.2263822496173,"79 - 89","Moderate Priority",1
"McCormick",0.193071680978164,0.500053358110773,12.4281448946604,93.1560724515018,"89 - 99","Low Priority",24
"Pima Verde West",0.047878404476172,0.124004498319206,14.4372222638552,88.307236989704,"79 - 89","Moderate Priority",1
"International Business Center",0.3751673800006,0.971679053460699,7.85788824159232,67.9657535607134,"64 - 79","High Priority",27
"Colonia Allegre",0.11545682731053,0.299031809952595,15.8385067048422,93.8414219078998,"89 - 99","Low Priority",117
"Groves Lincoln Park",1.97845993835074,5.12418771644079,7.64756479137469,72.0834953593122,"64 - 79","High Priority",6
"El Encanto",0.19005330609526,0.492235803053696,30.5481477073167,100,"99 - 100","Low Priority",66
